PLANTA,MAQUINA,TIPO_CAJA_ACTUAL,TIPO_CAJA_A_CAMBIAR,HORA_SETUP,Unnamed: 5
MOSTAZAL,M1,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,ESTE ES EL TIEMPO PROMEDIO DE CAMBIO DE SETUP
MOSTAZAL,M2,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M3,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M4,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M5,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M6,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M7,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M8,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M9,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M10,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M11,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M12,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M13,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOSTAZAL,M14,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M1,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M2,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M3,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M4,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M5,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M6,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M7,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M8,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M9,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M10,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MALLOA,M11,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M1,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M2,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M3,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M4,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M5,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M6,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M7,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M8,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M9,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M10,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M11,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M12,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M13,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M14,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M15,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
MOLINA,M16,"MALETA 2,5 KILOS","MASTER 2 X 2,5 KILOS",1,
